piece_id,description,member,rough_dim,final_dim,material,qty,grain_dir,operation,offcut_yield,notes
DRN-Am-BLK,Am body blank rough,Am,1.55×1.55×23.97 in,"OD 1.3, L 21.97 in",Black walnut,1,long-axis parallel,"mill, joint, plane, datum-drill",~15% offcut,Acclimate 7 days post-mill.
DRN-Am-HALF-A,Am body half A (left),Am,0.775×1.55×23.97 in,"split half A, planed to glue",Black walnut,1,parallel,bandsaw rip + hand plane,0,Match-mark with B half.
DRN-Am-HALF-B,Am body half B (right),Am,0.775×1.55×23.97 in,"split half B, planed to glue",Black walnut,1,parallel,bandsaw rip + hand plane,0,-
DRN-Fsm-BLK,F#m body blank rough,F#m,1.68×1.68×26.99 in,"OD 1.425, L 24.99 in",Black walnut,1,long-axis parallel,"mill, joint, plane, datum-drill",~15% offcut,Acclimate 7 days post-mill.
DRN-Fsm-HALF-A,F#m body half A (left),F#m,0.840×1.68×26.99 in,"split half A, planed to glue",Black walnut,1,parallel,bandsaw rip + hand plane,0,Match-mark with B half.
DRN-Fsm-HALF-B,F#m body half B (right),F#m,0.840×1.68×26.99 in,"split half B, planed to glue",Black walnut,1,parallel,bandsaw rip + hand plane,0,-
DRN-Em-BLK,Em body blank rough,Em,1.8×1.8×29.23 in,"OD 1.55, L 27.23 in",Black walnut,1,long-axis parallel,"mill, joint, plane, datum-drill",~15% offcut,Acclimate 7 days post-mill.
DRN-Em-HALF-A,Em body half A (left),Em,0.900×1.8×29.23 in,"split half A, planed to glue",Black walnut,1,parallel,bandsaw rip + hand plane,0,Match-mark with B half.
DRN-Em-HALF-B,Em body half B (right),Em,0.900×1.8×29.23 in,"split half B, planed to glue",Black walnut,1,parallel,bandsaw rip + hand plane,0,-
DRN-Dm-BLK,Dm body blank rough,Dm,1.93×1.93×31.82 in,"OD 1.675, L 29.82 in",Black walnut,1,long-axis parallel,"mill, joint, plane, datum-drill",~15% offcut,Acclimate 7 days post-mill.
DRN-Dm-HALF-A,Dm body half A (left),Dm,0.965×1.93×31.82 in,"split half A, planed to glue",Black walnut,1,parallel,bandsaw rip + hand plane,0,Match-mark with B half.
DRN-Dm-HALF-B,Dm body half B (right),Dm,0.965×1.93×31.82 in,"split half B, planed to glue",Black walnut,1,parallel,bandsaw rip + hand plane,0,-
BIRD-x4,Bird block blanks (all 4 flutes),all,1×1×10 in,1×0.75×2 in (×4),Black walnut offcut,4,parallel,rip + crosscut + laser engrave,20%,Cut from 1.1/1.2 offcuts.
DRONE-x12,Drone block blanks (12 total),all,1.75×1.75×18 in,1.40×1.40×3.5 in (×12),Black walnut,12,parallel,crosscut + lathe-turn,5%,3 per flute: U/5/8 configurations.
INLAY-Am-band1,Am band1 inlay plug,Am,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Am/band1*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-Am-band2,Am band2 inlay plug,Am,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Am/band2*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-Am-band3,Am band3 inlay plug,Am,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Am/band3*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-Am-feature,Am feature inlay plug,Am,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Am/feature*.dxf,Hard maple,1,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.080 in.
INLAY-F#m-band1,F#m band1 inlay plug,F#m,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/F#m/band1*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-F#m-band2,F#m band2 inlay plug,F#m,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/F#m/band2*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-F#m-band3,F#m band3 inlay plug,F#m,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/F#m/band3*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-F#m-feature,F#m feature inlay plug,F#m,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/F#m/feature*.dxf,Hard maple,1,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.080 in.
INLAY-Em-band1,Em band1 inlay plug,Em,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Em/band1*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-Em-band2,Em band2 inlay plug,Em,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Em/band2*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-Em-band3,Em band3 inlay plug,Em,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Em/band3*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-Em-feature,Em feature inlay plug,Em,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Em/feature*.dxf,Hard maple,1,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.080 in.
INLAY-Dm-band1,Dm band1 inlay plug,Dm,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Dm/band1*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-Dm-band2,Dm band2 inlay plug,Dm,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Dm/band2*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-Dm-band3,Dm band3 inlay plug,Dm,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Dm/band3*.dxf,Hard maple,8,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.060 in.
INLAY-Dm-feature,Dm feature inlay plug,Dm,1/8×4×12 in (panel) / 1/16×2×24 in (band),per inlay-patterns/Dm/feature*.dxf,Hard maple,1,parallel,"CNC profile cut at +0.001"" oversize",-,Pocket depth 0.080 in.
